message,is_flight_intent
 show me flights denver to washington dc on thursday,1
 please list the thursday morning flights from st. louis to st. paul,1
 what flight do you have from pittsburgh to san francisco on the morning of august twenty seventh,1
 what are the flights from boston to atlanta,1
 what flights from baltimore to san francisco arrive before 8 pm in san francisco,1
 show me the flights from pittsburgh to san francisco for thursday night or friday,1
 get me a first class flight on american to san francisco on tuesday next week,1
 ground transportation in westchester county,0
 what flights are there from atlanta to baltimore,1
 i'd like to fly from dallas to san francisco at approximately 615 pm,1
 list the fares of us air flights from boston to philadelphia,0
 list flights from phoenix to detroit on thursday june twenty fourth,1
 what flights from miami to indianapolis on sunday,1
 now show me the flights from memphis to cleveland,1
 can you give me information on all the flights from san francisco no from pittsburgh to san francisco on monday,1
 could you find me a flight from boston to san francisco that stops in denver,1
 flights from cleveland to miami,1
 give me the flights from pittsburgh to los angeles thursday evening,1
 please list all of the flights leaving atlanta heading to baltimore after 8 pm wednesday and before 9 am thursday,1
 show me flights from seattle to san francisco that leave after 5 pm,1
 show me the flights that go from tacoma to miami,1
 which airline can fly me from atlanta to denver to san francisco,0
 are there any flights from denver to pittsburgh with stops in atlanta,1
 list all the flights that arrive at general mitchell international,1
 what is fare code h,0
 what flights from salt lake city to new york city arrive next saturday before 6 pm,1
 flights from nashville to seattle,1
 show me fares from seattle to minneapolis,0
 i need a flight from boston to san francisco via dallas fort worth,1
 i'd like an afternoon flight from atlanta to san francisco with a stopover in denver arriving i'd say about mealtime,1
 show me the most expensive one way flight from detroit to westchester county,1
 show me the flights from baltimore to philadelphia,1
 from denver to washington dc on monday november eleventh 1991,1
 please list all the flights from boston to denver which serve meals,1
 list aircraft types that fly between boston and san francisco,0
 what does fare code qw mean,0
 i'm interested in a flight on american airlines from dallas to washington,1
 give me flights from pittsburgh to baltimore,1
 how much is a round trip fare from indianapolis to seattle,0
 what is the cheapest flight from long beach to memphis,1
 which airline provides business class flights,0
 pittsburgh to denver,1
 which airlines fly between boston and pittsburgh,0
 list the flights arriving in atlanta from baltimore before noon on august fourth,1
 give me the flights for american airline from philadelphia to dallas,1
 i need a flight this sunday from miami to las vegas and i would prefer a morning flight,1
 flights from boston to pittsburgh,1
 which flights go from pittsburgh to atlanta in the evening,1
 show me the fares from dallas to san francisco,0
 give me american airlines flights from milwaukee to phoenix on saturday and on sunday,1
 list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,1
 show me the flights from baltimore to oakland,1
 show me the earliest flight from denver to las vegas,1
 show me flights from milwaukee to orlando on wednesday night,1
 may i have a listing of flights from milwaukee to tacoma washington departing in the evening,1
 what morning flights do you have between oakland and denver,1
 i'd like a flight from washington that stops in denver and goes on to san francisco,1
 show me all flights from pittsburgh to baltimore tomorrow,1
 all one way flights between boston and philadelphia,1
 what flights go to san francisco from boston,1
 what flights are there from san francisco to philadelphia daily with economy class,1
 first flights from pittsburgh to atlanta on a thursday,1
 show me the flights from baltimore to atlanta,1
 tell me about flights from toronto to salt lake city leaving after 530 pm,1
 show me the flights from indianapolis to orlando with round trip fares less than 1288,1
 i need a flight from boston to pittsburgh that leaves early in the morning,1
 what is the first flight from atlanta to baltimore that serves lunch,1
 show me the flights from pittsburgh to baltimore,1
 all flights from denver to philadelphia,1
 oakland to philadelphia saturday,1
 give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee,1
 show me flights on monday from philadelphia to boston after 7 am,1
 show me all the flights leaving baltimore,1
 show me the flights from philadelphia to boston,1
 is there a plane from boston to washington,0
 i need to go from boston to atlanta and back in the same day find me the earliest flight from boston,1
 what are flights between boston and pittsburgh on august tenth,1
 what are the schedule of flights from boston to san francisco for august first,1
 show me one way flights from milwaukee to orlando wednesday,1
 show me all flights from pittsburgh to baltimore tomorrow which serve a meal,1
 give me flights on american airlines from milwaukee to phoenix,1
 show all flights from pittsburgh to san francisco,1
 i wish to fly from boston to washington please find an airline for me,1
 please list the flights from dallas fort worth to dc baltimore on july twenty third,1
 which flights from memphis to tacoma also stop in los angeles,1
 show me the flights on tuesday morning from charlotte to baltimore,1
 i need 2 first class tickets from dallas fort worth to san francisco,0
 are there any flights from philadelphia to dallas which stop in atlanta,1
 flights to baltimore,1
 what does mco stand for,0
 what is the least expensive way to fly from philadelphia to san francisco,1
 list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday,1
 how many booking classes are there,0
 flight numbers from columbus to minneapolis tomorrow,1
 give me the continental flights from chicago to seattle on friday,1
 what are the united airlines flights between baltimore and denver on august twelfth,1
 show me the flights next tuesday between philadelphia and san francisco,1
 find a flight on american airlines from boston to san francisco that makes a stopover in denver,1
 show me the fares on all flights round trip from pittsburgh to oakland,0
 what's the difference between fare code q and fare code f,0
 flights from cincinnati to salt lake city,1
 ground transportation denver,0
 show me flights from denver to washington dc on wednesdays,1
 find a flight between denver and oakland the flight should be in the afternoon and arrive close to 5 pm the flight should be nonstop,1
 show me all flights from atlanta to washington with prices,1
 flights between new york and miami,1
 please list the monday morning flights from kansas city to atlanta,1
 list all american airlines flights from phoenix to milwaukee which arrive on wednesday after 4 pm,1
 what round trip tickets are there from cleveland to miami on us air that arrive before 4 pm,0
 i'd like to go from boston to denver at 9 o'clock saturday night,1
 show me the northwest flights from detroit to st. petersburg,1
 what is the available ground transportation between the airport in denver and downtown,0
 on may four atlanta to denver delta flight 257,1
 show me all flights from indianapolis,1
 which airlines have flights between philadelphia and pittsburgh,0
 which are the flights from denver to baltimore or washington dc,1
 list the number of flights leaving boston for dallas fort worth before 9 am in the morning,0
 are there delta flights leaving atlanta,1
 can you list all round trip flights from orlando to kansas city and then to minneapolis,1
 i would like to find a flight from kansas city to salt lake city on delta and arriving at about 8 o'clock in the evening could you please tell me the aircraft and the flight number thank you,1
 i would like a flight from washington to boston leaving at 230 on august twentieth,1
 how much is a flight from washington to boston,0
 show me all flights from orlando to san diego on a boeing 737,1
 what flights are there on sunday from seattle to minneapolis,1
 where is mco,0
 show me all flights from pittsburgh to atlanta,1
 which united airlines flight flies across this continent and leaves from boston goes to dallas and makes a stopover in philadelphia,1
 list daily flights of united airline from denver to baltimore with first class service,1
 show me flights from pittsburgh to atlanta on monday morning,1
 all flights phoenix to sfo,1
 i want to travel from washington dc to philadelphia on tuesday morning,1
 what is the fare going from atlanta to boston one way on november seventh,0
 is there a flight on american airlines from boston to denver,1
 what flights are available from san francisco to pittsburgh on thursday evening,1
 do you have an afternoon flight leaving in the afternoon going from boston to san francisco with a stopover in dallas,1
 show the flights from pittsburgh to san francisco again on monday,1
 show me a list of flights on american airlines from boston to dc on july twenty second,1
 now i'd like flights from philadelphia to pittsburgh leaving between 430 and 530 pm,1
 what economy flights are available from dallas to baltimore on december seventeenth,1
 please show me flights from san francisco to dallas,1
 please show me all the flights from indianapolis to san diego tomorrow,1
 what does flight code us mean,1
 i would like a flight from denver to pittsburgh,1
 what is the flight schedule of the f28 from pittsburgh to baltimore,1
 looking for a flight from dc to minnesota,1
 how many us air flights leave from washington,0
 show me times for flights from san francisco to atlanta,1
 what flights are there on wednesday evening or thursday morning from denver to sfo,1
 how many flights go from dallas to baltimore on july nineteenth,0
 could you show me all the flights from oakland to salt lake city,1
 find me a flight from boston to san francisco with layover in denver on united,1
 what flights are available between boston and washington arriving in washington at 630,1
 show me the airlines between toronto and denver,0
 what flights do you have between pittsburgh and atlanta,1
 show me the flights from denver to westchester county,1
 i need information for a flight from denver to atlanta,1
 what is the cheapest flight from boston to atlanta,1
 what is the cheapest flight from atlanta to pittsburgh one way,1
 show me all overnight flights from washington dc to san francisco and list their fares,1
 round trip flights between new york and miami,1
 show me the one way flight from detroit to westchester county with the highest fare,1
 what flights are there from newark to chicago on continental,1
 i'm trying to make a connection between denver and san francisco does delta airline fly between those two,1
 what is the latest us air flight leaving philadelphia and returning to boston,1
 what flights does us air have from san francisco to pittsburgh on tuesday,1
 can i fly from boston to baltimore washington,1
 what is mco,0
 flights from las vegas to phoenix,1
 i would like to leave around 7 o'clock in the morning,1
 show me fares from baltimore to philadelphia,0
 flights from memphis to seattle,1
 please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast,1
 flights from atlanta august second,1
 does american airlines fly from atlanta to philadelphia,1
 yes i'd like a flight from long beach to st. louis by way of dallas,1
 i'd like to know if you have any flights from denver to philadelphia,1
 what are the cheapest one way flights from atlanta to denver,1
 what is the first flight after 12 noon from washington for denver,1
 how many delta flights leave from washington,0
 now list for me only the united flights that flight from oakland to boston,1
 from philadelphia to toronto,1
 i am interested in a flight on american airlines from dallas to washington,1
 what airplane types fly from pittsburgh to baltimore,0
 what is the yn code,0
 i would like the earliest morning flight from atlanta to philadelphia on wednesday morning,1
 how many seats in a 100,0
 may i have a listing of flights from long beach to columbus ohio on tuesday,1
 what flights leave from phoenix to nashville on american airlines,1
 show me all round trips from new york to miami leaving on tuesday,1
 list all nonstop flights on sunday from tampa to charlotte,1
 list all flights from burbank to denver,1
 what are the round trip fares for flights from denver to philadelphia arriving after 1700 on continental,0
 i'd like to see flights from baltimore to atlanta,1
 please show me the flights from las vegas to detroit on the twenty eighth,1
 what is ord,0
 what type of ground transportation is available between the airport and downtown san francisco,0
 is the american flight 813 from boston to oakland a nonstop flight,1
 give me the flights from washington dc to philadelphia for december second,1
 show all connecting flights from pittsburgh to oakland,1
 list daily flights from boston to oakland using twa,1
 i would like the least expensive airfare flight on sunday to pittsburgh from san francisco,0
 i need a flight from san diego to indianapolis leaving in the afternoon on tuesday,1
 can you give me the evening flight on wednesday from washington to atlanta again,1
 i would like to book a flight from los angeles to pittsburgh on june first,1
 what flights from atlanta to washington,1
 show me all flights direct only from boston to san francisco or oakland that arrive before 10 am local time,1
 first class round trip airfare from indianapolis to memphis,0
 flights from cincinnati to denver on american airlines,1
 list all flights on continental leaving denver on sunday after 2134,1
 show me all flights from charlotte,1
 show me all nationair flights from toronto,1
 what are the fares from newark to la monday and wednesday,0
 show me flights from denver to atlanta on june sixteenth,1
 please show me round trip tickets from denver to oakland,0
 list all flights on united from san francisco to boston with fare code qx,1
 how many flights does twa have in business class,0
 list all flights going from boston to atlanta after 6 o'clock on wednesday and before 7 o'clock am on thursday,1
 show me the flights to love field,1
 show me flights from pittsburgh to philadelphia,1
 show me the flights from philadelphia to atlanta,1
 philadelphia to dallas arriving before 1 in the afternoon,1
 i need a flight from tampa to montreal,1
 please give me flights leaving san francisco and going to pittsburgh,1
 what do you have from philadelphia to dallas on saturday morning,1
 flight leaving from oakland to salt lake city,1
 tell me about flights on american airlines from dallas fort worth to philadelphia on june twenty ninth,1
 list all flights from boston to san francisco with the maximum number of stops,1
 are there any flights from atlanta to denver,1
 what are the flights dallas to boston on monday morning,1
 show me flights leaving from denver colorado to pittsburgh pennsylvania on wednesdays after 5 pm,1
 i need flight information between atlanta and boston,1
 what are my choices of flights from las vegas to new york,1
 what is the cheapest flight from boston to san francisco,1
 on continental airlines any class service from san francisco to pittsburgh,1
 find the cheapest flight from denver to atlanta with a stopover in pittsburgh,1
 what are the lowest one way fares from atlanta to denver,0
 are there any flights from boston to san francisco stopping in denver,1
 flights from kansas city to cleveland on wednesday,1
 how much is a round trip fare from memphis to seattle,0
 show me the flights into love field,1
 i'd like to fly from philadelphia to dallas through atlanta,1
 information on flights from pittsburgh to philadelphia,1
 what flights does american airlines fly from philadelphia to dallas,1
 i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route,1
 i would like the time of all flights from san francisco to pittsburgh on sunday,1
 show me ground transportation in dallas please,0
 are there any nonstop flights leaving from denver arriving in baltimore on july seventh,1
 how much does dl 746 cost,0
 what is the earliest flight from boston to san francisco on american airlines,1
 please list ground transport in san francisco,0
 i need a flight from ontario to los angeles on a thursday,1
 show me flights from all airports to love field,1
 list the flights from pittsburgh to san francisco on thursday,1
 what flights are available from denver to baltimore first class on united airlines arriving may seventh before noon,1
 which airlines are represented in the database,0
 which flight between pittsburgh and baltimore on july nineteenth has the smallest seating capacity,1
 list all trans world airline flights from indianapolis to houston that arrive in houston between 1030 am and 1130 am,1
 what flights are there from new york city to las vegas,1
 is there ground transportation from san diego airport to the downtown area,0
 shortest morning flights from cincinnati to tampa,1
 what's the last flight from houston to dallas,1
 is there a flight from charlotte to newark on tuesday evening,1
 what is airline us,0
 what's the lowest round trip fare from dallas to atlanta,0
 find me the earliest flight from boston to atlanta on any day of the week,1
 display all flights from boston to baltimore on july thirty first,1
 economy fares new york to miami round trip,0
 i need to fly from boston to denver on to san francisco and back,1
 i wish to book a flight from pittsburgh to atlanta coach discount fare,1
 show me flights to dallas from san francisco and atlanta and pittsburgh,1
 tell me distance from orlando airport to the city,0
 hi i need to get a flight from memphis to salt lake city departing before 10 am,1
 what is the cheapest fare i can get from dallas to denver,0
 i would like a flight from philadelphia to dallas arrive dallas about 12 noon,1
 us air next wednesday from cleveland to miami,1
 could you please find me the cheapest one way fare from boston to philadelphia,0
 i'd like a flight from detroit to st. petersburg for tuesday,1
 return from miami to new york on tower air on saturdays,1
 show me ground transportation in san francisco,0
 please give me the earliest flight tomorrow from st. petersburg to milwaukee,1
 i need ground transportation in dallas please show me what's available,0
 what's fare code yn,0
 the cheapest flights from atlanta to philadelphia that arrive after 12 pm on a tuesday,1
 is there an early morning delta airlines flight between boston and washington,1
 what flights from orlando to tacoma on saturday,1
 show me all flights both direct and connecting from dallas fort worth to either san francisco or oakland that depart after 7 pm,1
 give me flights from chicago to seattle on saturday morning,1
 okay tell me what the earliest flight is that leaves between atlanta and denver,1
 i want a flight from toronto to montreal that leaves early friday morning,1
 what first class flights are available from denver to baltimore on july twenty fifth 1991,1
 show me the airlines from love field,0
 what's the cheapest one way ticket from baltimore to atlanta,0
 a first class flight on american to san francisco on tuesday in the next week,1
 what airlines fly between boston and san francisco and stop in denver,0
 what're the flights from new york city to las vegas that arrive on a sunday,1
 flights on friday from newark to tampa,1
 flights from san francisco august one,1
 how many stops on continental 1765 from boston to san francisco,0
 on flight us air 2153 from san francisco to baltimore what time and what city does the plane stop in between,1
 i need a flight from st. petersburg to charlotte which will get me into charlotte by 5 pm or as soon thereafter as possible,1
 i want a one way ticket from dallas to baltimore,0
 find me the latest flight leaving atlanta august seventh and arriving in denver,1
 what's the lowest one way fare from pittsburgh to denver,0
 show me flights from los angeles to pittsburgh on monday evening,1
 show me the flights from san francisco to washington dc,1
 show me flights from pittsburgh to philadelphia,1
 show me the shortest flight from boston to denver which arrives in denver wednesday before noon,1
 what are the flights from orlando to kansas city,1
 show me flights from san francisco to boston on thursday,1
 sunday flights from new york city to las vegas,1
 i need a flight from pittsburgh to new york leaving at 5 pm,1
 what's the smallest plane that flies from pittsburgh to baltimore on eight sixteen,0
 give me the flights on december twenty seventh with the fares from indianapolis to orlando,1
 show me all the us air flights leaving pittsburgh between 12 and 4 in the afternoon,1
 i want a cheap from denver to atlanta,1
 show all flights from miami to jfk,1
 show me all flights from san francisco to pittsburgh on a monday,1
 show me the earliest flight from boston to denver,1
 i need a united airlines flight from denver to baltimore on saturday,1
 what are the cheapest one way flights from denver to atlanta,1
 all flights from boston to washington dc after 5 pm on november eleventh economy class,1
 is there ground transportation in oakland,0
 list united flights from denver to san francisco on wednesdays,1
 what is the cheapest way to fly from denver to oakland,1
 philadelphia to san francisco with one stop in dallas please,1
 i would like to fly us air from orlando to cleveland in the late evening what do you have available,1
 what does restriction ap 57 mean,0
 what are the latest flights that i can take from baltimore to boston,1
 list flights from philadelphia to san francisco via dallas,1
 how much does the american airlines flight 71 from dallas to san francisco cost,0
 all flights from boston to philadelphia which show up on tuesday afternoon,1
 show me flights from new york to miami on a tuesday with a round trip fare less than 466 dollars,1
 nonstop flights from seattle to denver,1
 give me the flights and fares on december twenty seventh from indianapolis to orlando,1
 what flights are available wednesday afternoon from denver to san francisco,1
 what are the flights from tacoma to san jose also on tuesday the eighteenth of may,1
 what's the ground transportation like at pittsburgh,0
 list daily flights from boston to oakland using united airlines,1
 in the next two days i want to fly from nashville to san jose or to tacoma,1
 how many flights does each airline have with business class service,0
 what flights from st. paul to kansas city on friday with supper served,1
 show flights from san francisco to denver on either wednesday the twenty third or thursday the twenty fourth,1
 what are the flights available between 10 am and 3 pm between pittsburgh and fort worth,1
 list all flights from memphis to seattle,1
 airline code as,0
 show me the flights from san francisco to boston,1
 show me all flights from san diego to phoenix on a boeing 737,1
 may i have a list of flights going from boston to denver on the twenty ninth of july,1
 could you tell me the cheapest fare from atlanta to boston on thirty first of august,0
 which united airlines flight flies from boston to san francisco and makes a stopover in philadelphia,1
 what are the latest flights from boston to dallas on the evening of july seventh,1
